,Episode,Actor(D),Expert Mean(D),Actor,Expert Mean
0,0.0,201.68182373046875,128.78193359375,-200.0,-128.2
1,1.0,199.92147827148438,127.4181884765625,-200.0,-128.2
2,2.0,198.60006713867188,126.11876220703125,-200.0,-128.2
3,3.0,195.89788818359375,125.3197265625,-200.0,-128.2
4,4.0,194.48460388183594,124.344482421875,-200.0,-128.2
5,5.0,192.3210906982422,123.1914794921875,-200.0,-128.2
6,6.0,190.3277130126953,122.2907470703125,-200.0,-128.2
7,7.0,189.5716552734375,121.5322509765625,-200.0,-128.2
8,8.0,187.49249267578125,120.696044921875,-200.0,-128.2
9,9.0,184.5890350341797,119.93282470703124,-200.0,-128.2
10,10.0,183.60618591308594,119.3290771484375,-200.0,-128.2
11,11.0,180.869140625,118.49451904296875,-200.0,-128.2
12,12.0,178.3106689453125,117.45809326171874,-200.0,-128.2
13,13.0,177.02090454101562,116.50877685546875,-200.0,-128.2
14,14.0,175.12179565429688,115.455078125,-200.0,-128.2
15,15.0,171.1808319091797,114.369921875,-200.0,-128.2
16,16.0,171.09866333007812,113.44398193359375,-200.0,-128.2
17,17.0,168.8719482421875,112.41787109375,-200.0,-128.2
18,18.0,166.81869506835938,111.211474609375,-200.0,-128.2
19,19.0,162.81002807617188,110.1390869140625,-200.0,-128.2
20,20.0,162.03945922851562,109.06099853515624,-200.0,-128.2
21,21.0,161.57615661621094,108.15567626953126,-200.0,-128.2
22,22.0,158.56605529785156,106.925537109375,-200.0,-128.2
23,23.0,155.8892364501953,105.5876220703125,-200.0,-128.2
24,24.0,153.88397216796875,104.1634033203125,-200.0,-128.2
25,25.0,150.12200927734375,102.745703125,-200.0,-128.2
26,26.0,150.28387451171875,101.38524780273437,-200.0,-128.2
27,27.0,146.59194946289062,100.19464111328125,-200.0,-128.2
28,28.0,144.31671142578125,98.83612670898438,-200.0,-128.2
29,29.0,141.70941162109375,97.43690185546875,-200.0,-128.2
30,30.0,140.39529418945312,95.9458251953125,-200.0,-128.2
31,31.0,139.13540649414062,94.4941650390625,-200.0,-128.2
32,32.0,135.52587890625,93.13633422851562,-200.0,-128.2
33,33.0,133.55215454101562,91.9034423828125,-200.0,-128.2
34,34.0,130.72064208984375,90.7025146484375,-200.0,-128.2
35,35.0,127.74760437011719,89.45735473632813,-200.0,-128.2
36,36.0,126.4565200805664,88.18515014648438,-200.0,-128.2
37,37.0,124.27159118652344,86.7232666015625,-200.0,-128.2
38,38.0,121.05342864990234,85.2234375,-200.0,-128.2
39,39.0,116.22227478027344,83.737841796875,-200.0,-128.2
40,40.0,115.20210266113281,82.32730102539062,-200.0,-128.2
41,41.0,111.74853515625,80.98162231445312,-200.0,-128.2
42,42.0,112.15972900390625,79.62203979492188,-200.0,-128.2
43,43.0,107.15153503417969,78.2177001953125,-200.0,-128.2
44,44.0,104.63363647460938,76.83980102539063,-200.0,-128.2
45,45.0,101.96881103515625,75.462646484375,-200.0,-128.2
46,46.0,101.52400207519531,74.0201171875,-200.0,-128.2
47,47.0,97.04597473144531,72.53599853515625,-200.0,-128.2
48,48.0,93.10931396484375,71.11280517578125,-200.0,-128.2
49,49.0,91.27825927734375,69.63531494140625,-200.0,-128.2
50,50.0,90.10562133789062,68.23515625,-200.0,-128.2
51,51.0,86.952392578125,66.7477783203125,-200.0,-128.2
52,52.0,86.67353820800781,65.28937377929688,-200.0,-128.2
53,53.0,80.8614501953125,63.746240234375,-200.0,-128.2
54,54.0,77.23396301269531,62.2525390625,-200.0,-128.2
55,55.0,77.81465911865234,60.75673217773438,-200.0,-128.2
56,56.0,75.71866607666016,59.30452880859375,-200.0,-128.2
57,57.0,68.4438705444336,57.84630126953125,-200.0,-128.2
58,58.0,66.13217163085938,56.4041748046875,-200.0,-128.2
59,59.0,66.94940948486328,54.9287353515625,-200.0,-128.2
60,60.0,65.28813171386719,53.48966064453125,-200.0,-128.2
61,61.0,61.803138732910156,52.05223388671875,-200.0,-128.2
62,62.0,57.67731475830078,50.71482543945312,-200.0,-128.2
63,63.0,54.181495666503906,49.39224548339844,-200.0,-128.2
64,64.0,48.94731903076172,48.15254211425781,-200.0,-128.2
65,65.0,47.236297607421875,46.89835815429687,-200.0,-128.2
66,66.0,50.064266204833984,45.66038818359375,-200.0,-128.2
67,67.0,43.1256103515625,44.409271240234375,-200.0,-128.2
68,68.0,42.813636779785156,43.140411376953125,-200.0,-128.2
69,69.0,37.26557540893555,41.88698120117188,-200.0,-128.2
70,70.0,36.59551239013672,40.65703125,-200.0,-128.2
71,71.0,34.70331573486328,39.488894653320315,-200.0,-128.2
72,72.0,33.913063049316406,38.332437133789064,-200.0,-128.2
73,73.0,29.615489959716797,37.22860107421875,-200.0,-128.2
74,74.0,27.53282928466797,36.185491943359374,-200.0,-128.2
75,75.0,26.759851455688477,35.158834838867186,-200.0,-128.2
76,76.0,28.150775909423828,34.17413330078125,-200.0,-128.2
77,77.0,20.283218383789062,33.199407958984374,-200.0,-128.2
78,78.0,20.067747116088867,32.219085693359375,-200.0,-128.2
79,79.0,16.93202018737793,31.227725219726562,-200.0,-128.2
80,80.0,15.043630599975586,30.253619384765624,-200.0,-128.2
81,81.0,13.892373085021973,29.297714233398438,-200.0,-128.2
